,,,,,,,,,,,,,,,,,,,,,,
Empresa,Industria,Categoria,Fecha Prospección,Prospectado por,Clasificacion,Num. Empleados,Country,Ubicacion,Ingresos Estimados,Tienda online,Pagina Web,Pagina De Instagram,Pagina De Twitter X,Pagina De Facebook,Pagina De Pinterest,Canal De Youtube,Pagina De Linkedin,Pagina De Tiktok,Email De Contacto,Telefono De Contacto,Estadisticas,Rival
Caldera + Lab,"Health, Wellness & Fitness",Personal Care Product Manufacturing,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,26,Estados Unidos,"Austin, Texas, US","$105,600",https://www.amazon.com/dp/B0BFBTRQ7Q,https://calderalab.com,https://www.instagram.com/calderalab/,,https://www.facebook.com/calderalabofficial/,,,https://www.linkedin.com/company/calderalab,,help@calderalab.com,8009-836-409; 8883-653-159,go ->,go ->
MOROVAN STORE,"Health, Wellness & Fitness",Nail Art & Pro Beauty,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,0,Estados Unidos,"Austin, Texas, US","$771,242",https://www.amazon.com/dp/B084P2F223,https://www.morovan.com,https://www.instagram.com/morovanofficial/,,https://www.facebook.com/MOROVANOFFICIAL,https://www.pinterest.com/MOROVANOFFICIALNAIL/,https://www.youtube.com/channel/UChFTUOa7OMe2A2K9iVHpbHQ,https://www.linkedin.com/company/morovan-store,https://www.tiktok.com/@morovanofficial,soporte@morovan.com; morovannailartist@gmail.com; morovan.us@gmail.com,+861 9927-488-433; +1 4152-163-524; +861 8565-436-810; +861 9927-488-433,go ->,go ->
"Blue Sky, The Color of Imagination, LLC",Manufacturing,Paper and Forest Products,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,760,Estados Unidos,"410 Exchange, Irvine, CA 92602, United States","$86,882",https://www.amazon.com/stores/DayDesigner/page/01F6FC07-E95A-4DE6-9900-462CA86FE0DE,https://www.bluesky.com,https://www.instagram.com/blueskyplanners/,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjzmNm73LuTAxV0TDABHdveDb0Q9zB6BAgXEAs&url=https%3A%2F%2Fwww.facebook.com%2FBlueSkyPlanners&usg=AOvVaw04Dyd2QdVcTo0QBdhOwCKc&opi=89978449,,,https://www.linkedin.com/company/blue-sky-the-color-of-imagination-llc/,,custserv@bluesky.com,,go ->,go ->
Fineline Beddings Inc,Retail,Furniture & Home,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,6,Estados Unidos,"1193 Lexington Ave (Between 80th and 81st Street) New York, NY 10028","$94,863",https://www.amazon.com/stores/Genteele/page/BB449D16-6798-4BDD-8A17-A86C74192B2B,https://www.finelinens.com,https://www.instagram.com/finelinensdotcom,,https://www.facebook.com/finelinensdotcom/,https://pl.pinterest.com/Finelinensny/_saved/,,https://www.linkedin.com/company/finelinens-com,,support@genteele.com; sales@finelinens.com,8774-546-366; 2127-372-123; +1 2127-370-520,go ->,go ->
HomeCourt,"Health, Wellness & Fitness",Beauty & Personal Care,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,35,Estados Unidos,"Santa Monica, CA 90401, US","$99,202",https://www.amazon.com/stores/Homecourt/page/B31B7A97-C00E-442C-BA10-4657BDD23CDC,https://homecourt.co/pages/contact,https://www.instagram.com/homecourt/,,https://www.facebook.com/finelinensdotcom/,,,https://www.linkedin.com/company/homecourt-co,https://www.tiktok.com/@homecourtco,partnerships@homecourt.co; homecourt@wearefoundation.co; support@homecourt.ai; sales@homecourt.co; wholesale@homecourt.co,8774-546-366; 2127-372-123; +1 2127-370-520,go ->,go ->
The Whall Group,Business Services,Security & Investigations,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,5,Estados Unidos,"The Whall Group 3955 Pinnacle Ct, Auburn Hills, MI 48326",$5M - $10M,https://www.amazon.com/stores/Homecourt/page/B31B7A97-C00E-442C-BA10-4657BDD23CDC,https://whall.com,,,,,,https://www.linkedin.com/company/the-whall-group/about/,,support@whall.com;,2482-760-190,,go ->
Wavytalk,"Health, Wellness & Fitness",Hair Care & Styling,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,47,Estados Unidos,"9 E 19th St, New York, NY 10003","$1,180,983",https://www.amazon.com/dp/B0BHNXQSCD,https://wavytalk.com,https://instagram.com/wavytalkofficial,,https://www.facebook.com/wavytalkofficial/,,,https://www.linkedin.com/company/wavytalk,https://www.tiktok.com/@wavytalkofficial,partnerships@wavytalk.com; support@wavytalk.com,+1 972-467-4080,go ->,go ->
Brickell Brands LLC,"Health, Wellness & Fitness",wellness & fitness services,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,35,Estados Unidos,"Portland, Maine","$727,204",https://www.amazon.com/dp/B01MT6RJRU,https://brickellmensproducts.com,https://instagram.com/brickellmensproducts,,https://facebook.com/brickellmensproducts,,https://www.youtube.com/c/BrickellMensProducts,https://linkedin.com/brickell-men's-products,https://www.tiktok.com/@brickellmensproducts,support@brickellmensproducts.com,1758313544; 1776188391; 1772147126; 1022766186,go ->,go ->
Timeless Skin Care,Manufacturing,Makeup & Personal Care Product,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,50,Estados Unidos,"Los Angeles , CA","$1,339,893",https://www.amazon.com/-/es/stores/TimelessSkinCare/page/CD08C32D-0C84-4EA9-8E56-8AED79DEDC3C?lp_asin=B019QQR0JW&ref_=ast_bln&store_ref=bl_ast_dp_brandlogo_sto,https://www.timelessha.com,https://instagram.com/timelesshaskin,,https://facebook.com/timelesshaskin,https://es.pinterest.com/timelesshaskin/,https://www.youtube.com/@timelesshaskin,https://www.linkedin.com/company/timeless-skin-care,https://www.tiktok.com/@timelesshaskin,abc@xyz.com; support@timelessHA.com; consult@timelessHA.com; consult@timelessha.com; pr@timelessha.com,4376769101; 5555555555; 1842728874; 9834047404,go ->,go ->
L'ange Hair,"Health, Wellness & Fitness",personal care product manufacturing,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,33,Estados Unidos,"Chatsworth, CA 91311","$1,561,625",https://www.amazon.com/stores/LANGEHAIR/page/54A065B7-1D14-47C5-BC1F-7EB03C0D6ABE,https://langehair.com,https://instagram.com/langehair,https://x.com/GetLange,https://www.facebook.com/getlange/,https://www.pinterest.com/langehair/,https://www.youtube.com/@LangeHair,www.linkedin.com/company/l%27ange-inc.,https://www.tiktok.com/@langehair,customercare@langehair.com,6341151812; 8140050268; 1766095694; 8144952852,go ->,go ->
Melting Forest,Food & Beverages,adaptogens nootropics,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,9,Estados Unidos,"226 n maple st, Corona, CA, United States, 92878",$1M - $5M,https://www.amazon.com/-/es/stores/MELTINGFOREST/page/02531DD8-41A3-406F-9568-C21B9CD1192A?lp_asin=B0D6WZLS5C&ref_=ast_bln&store_ref=bl_ast_dp_brandlogo_sto,https://meltingforest.com,https://www.instagram.com/meltingforest/?hl=en,https://x.com/meltingforest,https://www.facebook.com/meltingforestdrinks,www.pinterest.com/meltingforestofficial/,https://www.youtube.com/channel/UCOQqO70dN_SHMjwOqikeJyw,https://www.linkedin.com/company/meltingforest,https://www.tiktok.com/@meltingforest,info@meltingforest.com; sales@meltingforest.com,+1 8004-752-304,go ->,go ->
The Green Kiss,"Health, Wellness & Fitness",Cosmetics,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,8,Estados Unidos,"Unit 109 - 3531 Uptown Boulevard, Victoria, BC, Canada, British Columbia",$1M - $5M,https://www.thegreenkiss.com,https://www.thegreenkiss.com,https://instagram.com/thegreenkiss/,https://x.com/thegreenkiss,https://www.facebook.com/thegreenkiss/,https://www.pinterest.com/thegreenkiss/,,https://www.linkedin.com/company/the-green-kiss,,hello@thegreenkiss.com; info@thegreenkiss.com,(250) 412-2305,go ->,go ->
Mondo Mondo,Luxury Goods & Jewelry,poetry mythology handmade,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,5,Estados Unidos,"5420 Monte Vista St. Los Angeles, CA, United States, 90042",$1M - $5M,https://mondo-mondo.com,https://mondo-mondo.com,https://www.instagram.com/mondomondo/?hl=en,https://x.com/mondomondoman?p=s,https://www.facebook.com/m0nd0m0nd0/,https://www.pinterest.com/mondo_mondo/,,https://www.linkedin.com/company/mondo-mondo,https://www.tiktok.com/@mondomondoworld,email@mondo-mondo.com; sales@mondo-mondo.com; press@mondo-mondo.com,2504-122-305,go ->,go ->
Credo Beauty,Retail,Retail,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,230,Estados Unidos,"San Francisco, CA, USA",$50M - $100M,https://credobeauty.com,https://credobeauty.com,https://www.instagram.com/credobeauty/?hl=en,https://x.com/credobeauty,https://www.facebook.com/beautycredo?locale=es_LA,https://es.pinterest.com/CredoBeauty/,https://www.youtube.com/c/CredoBeauty,https://www.linkedin.com/company/credo-beauty,https://www.tiktok.com/@credo.beauty,hello@credobeauty.com; arealperson@credobeauty.com,+1 8446-927-336; +1 4158-851-800; 8446-927-336,go ->,go ->
Day Designer,Paper and Forest Products,Office Products,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,5,Estados Unidos,"410 Exchange, Suite 250, Irvine, CA 92602","$86,882.43",https://www.amazon.com/stores/DayDesigner/page/01F6FC07-E95A-4DE6-9900-462CA86FE0DE,https://daydesigner.com,https://www.instagram.com/thedaydesigner/,https://twitter.com/daydesigner,https://www.facebook.com/theDayDesigner/,https://www.pinterest.com/daydesigner/,https://www.youtube.com/%40DayDesignerChannel,https://www.linkedin.com/company/day-designer,https://www.tiktok.com/%40thedaydesigner,info@daydesigner.com; support@daydesigner.com,,,
Dom Dom,Personal Care Product Manufacturing,Beauty & Personal Care,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,5,Estados Unidos,"313 S Robertson Blvd, Beverly Hills, California 90211, US","$59,376.00",https://www.amazon.com/stores/DomDomHair/page/7F9D5374-0B6B-4340-AC7D-6B872F735D82,https://domdomhair.com,https://www.instagram.com/domdomhair/?hl=en,,https://www.facebook.com/DomDomhair/,,https://www.youtube.com/%40domdomhair,https://www.linkedin.com/company/dom-dom-hair/,https://www.tiktok.com/%40domdomhair,heyyall@domdomhair.com,,,
SUTRA,"Appliances, Electrical, and Electronics Manufacturing",Beauty & Personal Care,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,20,Estados Unidos,"7655 Haskell Ave, Van Nuys, California 91406, US","$97,874.70",https://www.amazon.com/stores/SutraBeauty/page/2F298E2D-B399-4AA3-829F-4D118A78CCFE,https://www.ibeautybrands.com,https://www.instagram.com/sutrabeauty,,https://www.facebook.com/sutrabeauty,,https://www.youtube.com/sutrabeauty,https://www.linkedin.com/company/ibeautybrands,https://www.tiktok.com/%40sutrabeauty,services@ibeautybrands.com; service@sutrabeauty.com,,,
Mix Wholesale,Retail,Furniture & Home,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,1,Estados Unidos,"1300 Sawgrass Corporate Parkway Suite 110, Sunrise, FL 33323",$5M - $10M,https://www.walmart.com/seller/101015629,https://mixwholesale.com,https://www.instagram.com/mixwholesalefl/,,https://www.facebook.com/MixWholesaleFL,https://www.pinterest.com/mixwholesale/,https://www.youtube.com/%40mixwholesale65/featured,https://www.linkedin.com/company/mix-wholesale,,support@mixwholesale.com; marketing@mixwholesale.com; customerservice@mixwholesale.com,+1 8885-923-788; +1 9545-771-043,,
Ornavo Home,Retail,Furniture & Home,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,1,Estados Unidos,"1020 East 48th St Brooklyn, NY 11203",$1M - $5M,https://www.walmart.com/seller/101017415,https://ornavohome.com,https://www.instagram.com/ornavohome/,https://www.twitter.com/ornavohome,https://www.facebook.com/OrnavoHome/,https://www.pinterest.com/ornavohome/,https://www.youtube.com/channel/UC0E6bgSfF6v2hXM5f5DX69w,https://www.linkedin.com/company/ornavo-home,,support@ornavohome.com; info@ornavohome.com,9144-184-722; +1 9545-771-043; +1 9144-184-722,,
Hold n’ Storage,Retail,Furniture & Home,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,1,Estados Unidos,"165 SCHUNNEMUNK RD, Monroe, New York 10950, us",$5M - $10M,https://www.walmart.com/seller/101016834,https://ornavohome.com,https://www.instagram.com/holdnstorage/,,hhttps://www.facebook.com/hold.storage.5/,https://www.pinterest.com/holdnstorage/,https://www.youtube.com/channel/UCYL93uCl6KagSy6Uyxie1Ew,https://www.linkedin.com/company/hold-n%E2%80%99-storage/about/,https://www.tiktok.com/%40holdandstorage,support@holdnstorage.com; store@holdnstorage.com,+1 8882-435-247,,
NewAge Products Inc.,Mechanical Or Industrial Engineering,Mechanical Or Industrial Engineering,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,270,Canada,"1190 Caledonia Rd, Toronto, ON, Canada, M6A 2W5",$100M+,https://www.walmart.com/brand/newage-products/101019900,https://newageproducts.com,https://www.instagram.com/newageproductsinc/,,https://www.facebook.com/NewAgeProductsInc/,https://ca.pinterest.com/NewAgeProductsInc/,www.youtube.com/newageproducts,https://www.linkedin.com/company/newage-products-inc-,https://www.tiktok.com/%40newageproducts.com,support@newageproducts.com; info@newageproducts.com,+1 8773-068-930,,
Holista,"Health, Wellness & Fitness",Beauty & Personal Care,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,5,Argentina,"Caba, Argentina","$380M-$2,800M ARS",https://holista.com.ar,https://holista.com.ar,https://www.instagram.com/holistaskin,,https://www.facebook.com/holistaskin/,https://www.pinterest.com/holistaskin/,https://www.youtube.com/%40holistaskin,https://www.linkedin.com/company/holistaskin/,https://www.tiktok.com/%40holistaskin,info@holista.com.ar,+549 1124-598-429,,
Oh My Shop!,Retail,Warehouse,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,5,Argentina,"Av Juan B Justo 5038, Buenos Aires, Argentina, 1416","$200M-$2,200M ARS",https://tienda.ohmyshop.com.ar,https://tienda.ohmyshop.com.ar,https://www.instagram.com/ohmyshop.store/,,https://www.facebook.com/OhMyShopArg/,https://www.pinterest.com/OhmyyShop/,https://www.youtube.com/channel/UCXilkPl8KXAw7kXNY0dlNZQ,,https://www.tiktok.com/%40ohmyshop.store?_t=ZM-8z13sAIJdCw&_r=1,info@ohmyshop.com.ar,+549 1134-372-796,,
Farmapiel,Pharmaceuticals,Pharmaceuticals,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead B,260,Mexico,"Boulevard Manuel Ávila Camacho número 32, Piso 16, C.P. 11000, Lomas de Chapultepec sección III, Miguel Hidalgo, Ciudad de México, México","$200M-$2,200M ARS",https://farmapiel.com,https://farmapiel.com,https://www.instagram.com/farmapielmx/,,https://www.facebook.com/FarmapielMexico,,https://www.youtube.com/%40farmapielmexico9558/featured,https://www.linkedin.com/company/farmapiel%C2%AE/,https://www.tiktok.com/%40farmapiel,info@farmapiel.com,+52 5590-637-191; +52 5590-637-101,,
BBSPro,Wholesale,Wholesale,3/12/2026,Jose Alberto Híjar Laura Andrea Escalante,LEAD A,7,Mexico,Fuente de templanza 19 Int PB-A Lomas de Tecamachalco Naucalpan de Juárez 53950,"$200M-$2,200M ARS",https://bbspro.com.mx/tienda/,https://bbspro.com.mx,,,https://www.facebook.com/bbspromx/,,,https://www.linkedin.com/company/bbspromx/about/,https://www.tiktok.com/%40bbspromx,info@bbsbeautyhair.com; revlonextensionesmex@gmail.com,+52 5551-310-585; +52 5634-343-400,,
CanaimaShop,Retail,Retail,3/12/2026,Jose Alberto Híjar Laura Andrea Escalante,LEAD A,7,Mexico,"C. Juan de Oñate 549, Lázaro Cárdenas, 58229 Morelia, Michoacán, MX.",,https://www.mercadolibre.com.mx/tienda/canaima-shop,https://canaimashop.com,https://www.instagram.com/canaimashop_mx?igsh=MXMxbncwb3c4dWZ6ag%3D%3D,,https://www.facebook.com/Canaimashop,,https://www.youtube.com/%40canaimashop,https://www.linkedin.com/company/canaimashop/,,servicioalcliente@canaimashop.com,+52 4432-744-868; +52 4433-829-431,,
Maivie,"arts, entertainment, and recreation +50",Retail,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,LEAD A,9,Estados Unidos,"2163 E 3300 S, Salt Lake City, UT, United States, 84109",< $1M,https://shopmaivie.com/pages/book,https://shopmaivie.com,https://www.instagram.com/shopmaivie,,https://www.facebook.com/shopmaivie,,https://www.youtube.com/%40shopmaivie,https://www.linkedin.com/company/maivie,,support@maivie.com; sales@shopmaivie.com,+1 3857-070-194; +1 4698-279-212,,
Elastalift,"Health, Wellness & Fitness",personal care product manufacturing,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,LEAD A,5,Estados Unidos,"Chicago, Illinois, United States","$159,216",https://www.amazon.com/dp/B07K8XBG1V,https://www.walmart.com/c/brand/elastalift,,,,,,https://www.linkedin.com/company/elastalift,,info@elastalift.com,+1 8444-678-777,,
Super Area Rugs,Retail,Retail,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,LEAD B,3,Estados Unidos,"166 West Smithfield Street, Angier, NC, United States, 27501","$88,940.38",https://www.amazon.com/stores/SuperAreaRugs/page/4C477E9E-4194-49FE-9F27-CCE56AC5D0DA,https://www.superarearugs.com,https://www.instagram.com/superarea_rugs/?hl=en,,https://www.facebook.com/SuperAreaRugs/,https://ar.pinterest.com/supearearugs/,https://www.youtube.com/%40superarearugs1267/shorts,https://www.linkedin.com/company/ap-home-decor-inc,,info@superarearugs.com; superarearugs@gmail.com,+1 8773-380-284; +1 5164-198-055,,
Costway,retail furniture & home furnishings +75,Furniture,3/6/2026,Jose Alberto Híjar Laura Andrea Escalante,Lead A,66,Estados Unidos,"11250 Poplar Ave,, Fontana, CA, United States, 92337",$500M - $1B,https://www.walmart.com/brand/costway/10000223,https://www.costway.com,https://www.instagram.com/costway/,https://twitter.com/Costway_com,https://www.facebook.com/costway,https://www.pinterest.com/costway/,https://www.youtube.com/channel/UC4BjLUYvydCeEKiZz3iHfGA,https://www.linkedin.com/company/costway,https://www.tiktok.com/%40costway.official,service@costway.com; recall@costway.com,+1 2134-012-666; +1 8442-421-885,,
